NAME,POSITION,HOME_AWAY,TARGET_CHASE,RECENT_FORM,INT_FORM,INT_CLASS_FORM,RECENT_CLASS_FORM,RECENT_PREDICTION,INT_PREDICTION,DREAM11
Shadab Khan,3 All Rounder,HOME,CHASE,5.542,5.009,5.289,5.542,7.5,10,206
Waqas Maqsood,4 Bowler,HOME,CHASE,3.025,0,0,1.634,3.5,0.75,112
Colin Munro,2 Batsmen,HOME,CHASE,5.002,0,0,5.002,7.5,6.25,93
Abdullah Shafique,2 Batsmen,AWAY,TARGET,3.178,4.567,0,3.603,4.5,4.25,66
Fakhar Zaman,2 Batsmen,AWAY,TARGET,6.645,3.608,2.874,7.035,9.5,12.5,62
Haris Rauf,4 Bowler,AWAY,TARGET,6.292,4.602,4.382,6.292,9,12,52
Harry Brook,2 Batsmen,AWAY,TARGET,0.899,1.285,1.285,1.003,0.5,0.75,52
Rashid Khan,4 Bowler,AWAY,TARGET,8.331,8.255,7.443,8.781,12,21.75,51
Shaheen Shah Afridi,4 Bowler,AWAY,TARGET,7.248,5.422,4.544,6.95,10,14,44
Mubasir Khan,3 All Rounder,HOME,CHASE,5.034,0,0,0.38,5,0,43
David Wiese,3 All Rounder,AWAY,TARGET,3.006,7.834,7.834,4.306,5,8.25,37
Zaman Khan,4 Bowler,AWAY,TARGET,3.384,0,0,4.949,5,3,37
Paul Stirling,3 All Rounder,HOME,CHASE,5.53,5.777,5.974,5.305,7.5,10,32
Azam Khan,1 Wicketkeeper,HOME,CHASE,2.718,0.24,0.24,3.339,3.5,1.5,31
Asif Ali,2 Batsmen,HOME,CHASE,1.219,1.25,1.284,1.219,1.5,1,28
Alex Hales,2 Batsmen,HOME,CHASE,6.869,0,0,6.869,9,9,18
Phil Salt,2 Batsmen,AWAY,TARGET,3.453,3.144,2.587,3.612,4.5,4.25,14
Hasan Ali,4 Bowler,HOME,CHASE,6.116,6.697,5.877,5.805,8.5,11.75,6
Kamran Ghulam,3 All Rounder,AWAY,TARGET,4.253,0,0,4.626,6,4,5
Faheem Ashraf,3 All Rounder,HOME,CHASE,2.945,3.352,3.657,2.39,3,3.25,4
Mohammad Hafeez,3 All Rounder,AWAY,TARGET,4.103,2.753,2.753,3.414,5.5,4.5,-1
Mohammad Wasim,3 All Rounder,HOME,CHASE,6.783,5.7,5.7,7.387,9.5,14.25,-2
